label,venit_total
Tesla Model Y,14025.32
Chrysler Pacifica,15477.04
Renault Austral,16743
Buick Cascada,17837.7
Ford Focus,18587.6
Fiat Tipo,18923.05
Maserati Ghibli,20558.48
Renault Talisman,21271.38
Toyota RAV4,22692.46
Volkswagen Polo,22794.57
Lamborghini Revuelto,25265.91
Hyundai Elantra,25931.74
Aston Martin DBS,26950.91
Chrysler Voyager,26988.18
Volkswagen Touareg,27405.64
Chevrolet Impala,27464.9
Volvo S60,27940.89
Nissan Altima,28127.33
Buick Encore,29545.31
Lamborghini Aventador,29620.73
Volvo V90,29666.66
Seat Leon,29668.13
Fiat 500,30084.47
Jeep Wrangler,30197.08
Audi Q5,30215
Nissan Qashqai,30651.25
Mazda CX-30,30895.14
Subaru Impreza,31106.98
Renault Captur,31145.22
Lamborghini Huracan,31254.69
Ferrari Roma,31499.17
Audi A6,31741.86
Fiat Bravo,32054.93
Alfa Romeo Giulia,32280.64
Nissan Micra,32848.5
Honda CR-V,33325.33
Dodge Journey,33365.62
Skoda Karoq,33486.63
Alfa Romeo Brera,33712.78
Honda Civic,33780.72
Dodge Durango,34010.42
Aston Martin DBX,34181.16
Maserati Levante,34722.44
GMC Yukon,35146.22
Honda Accord,35197.26
BMW Seria 5,35776.26
Volvo XC60,35999.87
Mazda CX-9,36233.88
Seat Ateca,36289.6
Peugeot 508,36926.45
Volvo V60,37092.25
Kia Sportage,37264.41
BMW Seria 3,37382.83
Kia Picanto,37726.02
Subaru Forester,37921.8
Maserati GranTurismo,38189.01
Lamborghini Gallardo,38324.89
Peugeot 308,39102.86
Toyota Camry,39170.94
BMW X5,39324.16
Chevrolet Tahoe,39666.8
Subaru Outback,39711.11
Alfa Romeo MiTo,39945.25
Mercedes-Benz S-Class,40029.18
Nissan X-Trail,40403.26
Toyota Highlander,40505.04
GMC Canyon,40546.48
Ferrari F8 Tributo,41569.4
Kia Sorento,41594.25
Skoda Superb,41778.31
Volkswagen Tiguan,41832.58
Chevrolet Equinox,41962.2
Maserati Quattroporte,42067.14
Toyota Corolla,42144.47
Honda HR-V,42309.21
Honda Jazz,42464.52
Mercedes-Benz GLC,42776.94
Buick Enclave,43365.52
Mazda CX-5,43529.46
Maserati MC20,43721.33
GMC Acadia,43740.06
Renault Clio,44021.34
Tesla Model 3,44247.02
Lamborghini Urus,44913.78
Dodge Charger,45010.99
GMC Savana,46348.24
Chrysler 200,46458.85
Jeep Compass,47505.59
Chrysler 300,47777.96
BMW X3,47814.59
Ford Mondeo,48577.57
Volkswagen Golf,48591.17
Nissan Juke,49240.69
Ford Explorer,49795.21
Audi A3,49844.39
Subaru Legacy,49887.69
Ferrari 812 Superfast,49979.88
Chevrolet Malibu,50989.6
Hyundai Tucson,51040.57
Fiat Panda,51326.99
Peugeot 3008,51909.78
Alfa Romeo 159,51917.98
Seat Ibiza,51969.99
Dodge RAM,52031.73
Audi Q7,53535.69
Tesla Model S,53548.76
Subaru XV,53799.28
Fiat Punto,54072.92
Kia Rio,54368.99
Tesla Model X,54895.07
BMW i4,55280.85
Dodge Challenger,55390.39
Peugeot 208,55891.56
Buick LaCrosse,57355.61
Tesla Cybertruck,57838.6
Ford Mustang,58469.79
Renault Megane,59650.87
Skoda Scala,59699.35
Jeep Renegade,60460.34
Jeep Cherokee,60505.3
Alfa Romeo Stelvio,60589.96
Aston Martin DB11,61062.2
Aston Martin Vantage,61693.12
Ferrari Portofino,62158.29
Ferrari 488,63249.51
Hyundai Santa Fe,64211.68
Mazda Mazda6,64647.88
Mercedes-Benz E-Class,64953.46
Chevrolet Camaro,65082.85
Jeep Grand Cherokee,66975.26
GMC Sierra,67963.73
Seat Tarraco,68174.5
Hyundai Kona,70451.25
Mercedes-Benz C-Class,70483.28
Skoda Kodiaq,71141.06
Skoda Octavia,71168.57
Mazda Mazda3,71273.91
Ford Fiesta,72401.47
Toyota Yaris,73642.29
Peugeot 2008,74123.97
Volvo XC90,74720.49
Volkswagen Passat,75768.91
Buick Regal,76124.84
Seat Arona,78868.55
Mercedes-Benz GLE,78908.62
Kia Ceed,79025.43
Chrysler Concorde,79567.14
Aston Martin Rapide,82562.83
Hyundai Sonata,95077.37
Audi A4,100363.83
